ROI Label,ROI Name,R,A,S
244,L_p32_ROI,-9,45,-2
245,L_10r_ROI,-6,46,-8
246,L_47m_ROI,-33,31,-15
247,L_8Av_ROI,-35,18,50
248,L_8Ad_ROI,-21,27,44
249,L_9m_ROI,-5,51,22
250,L_8BL_ROI,-10,36,53
251,L_9p_ROI,-16,46,40
252,L_10d_ROI,-9,63,9
253,L_8C_ROI,-39,18,35
254,L_44_ROI,-51,16,12
255,L_45_ROI,-47,27,3
256,L_47l_ROI,-44,29,-10
257,L_a47r_ROI,-39,48,-8
258,L_6r_ROI,-51,7,18
259,L_IFJa_ROI,-40,12,26
260,L_IFJp_ROI,-37,3,29
261,L_IFSp_ROI,-46,23,22
262,L_IFSa_ROI,-44,33,13
263,L_p9-46v_ROI,-43,31,28
264,L_46_ROI,-35,40,28
265,L_a9-46v_ROI,-37,49,11
266,L_9-46d_ROI,-28,45,23
267,L_9a_ROI,-20,53,26
268,L_10v_ROI,-3,49,-17
269,L_a10p_ROI,-24,58,-3
270,L_10pp_ROI,-11,59,-16
271,L_11l_ROI,-24,46,-14
272,L_13l_ROI,-22,25,-20
273,L_OFC_ROI,-9,28,-23
274,L_47s_ROI,-32,19,-18
275,L_LIPd_ROI,-29,-52,39
276,L_6a_ROI,-24,-5,52
277,L_i6-8_ROI,-29,6,54
278,L_s6-8_ROI,-22,20,55
279,L_43_ROI,-56,-1,8
280,L_OP4_ROI,-57,-14,13
281,L_OP1_ROI,-44,-22,16
282,L_OP2-3_ROI,-39,-16,16
283,L_52_ROI,-38,-22,0
284,L_RI_ROI,-37,-33,17
285,L_PFcm_ROI,-49,-29,16
286,L_PoI2_ROI,-39,-5,-2
287,L_TA2_ROI,-50,1,-6
288,L_FOP4_ROI,-39,12,5
289,L_MI_ROI,-36,10,1
290,L_Pir_ROI,-30,4,-18
291,L_AVI_ROI,-30,23,-3
292,L_AAIC_ROI,-34,13,-11
293,L_FOP1_ROI,-48,2,3
294,L_FOP3_ROI,-34,3,12
295,L_FOP2_ROI,-41,-4,13
296,L_PFt_ROI,-47,-31,38
297,L_AIP_ROI,-33,-45,40
298,L_EC_ROI,-19,-10,-27
299,L_PreS_ROI,-19,-30,-12
300,L_H_ROI,-29,-24,-17
301,L_ProS_ROI,-19,-54,1
302,L_PeEc_ROI,-26,-8,-33
303,L_STGa_ROI,-50,11,-17
304,L_PBelt_ROI,-53,-22,6
305,L_A5_ROI,-61,-18,-4
306,L_PHA1_ROI,-20,-37,-17
307,L_PHA3_ROI,-30,-38,-18
308,L_STSda_ROI,-53,-8,-12
309,L_STSdp_ROI,-51,-32,-2
310,L_STSvp_ROI,-56,-36,-4
311,L_TGd_ROI,-38,11,-33
312,L_TE1a_ROI,-60,-10,-21
313,L_TE1p_ROI,-60,-45,-13
314,L_TE2a_ROI,-53,-22,-29
315,L_TF_ROI,-39,-21,-29
316,L_TE2p_ROI,-46,-42,-22
317,L_PHT_ROI,-59,-56,-1
318,L_PH_ROI,-46,-60,-11
319,L_TPOJ1_ROI,-55,-42,6
320,L_TPOJ2_ROI,-50,-61,11
321,L_TPOJ3_ROI,-43,-66,18
322,L_DVT_ROI,-17,-71,28
323,L_PGp_ROI,-41,-79,23
