index	label	cifti_label	community_yeo	community_mesulam	community_economo	cortex	subcortex
179	Right_a32pr	R_a32pr_ROI	frontoparietal	heteromodal	association 1	True	False
180	Right_p24	R_p24_ROI	default mode	idiotypic	limbic	True	False
181	Left_V1	L_V1_ROI	visual	paralimbic	sensory 2	True	False
182	Left_MST	L_MST_ROI	visual	unimodal	sensory 1	True	False
183	Left_V6	L_V6_ROI	visual	unimodal	sensory 1	True	False
184	Left_V2	L_V2_ROI	visual	paralimbic	sensory 1	True	False
185	Left_V3	L_V3_ROI	visual	paralimbic	sensory 1	True	False
186	Left_V4	L_V4_ROI	visual	unimodal	sensory 1	True	False
187	Left_V8	L_V8_ROI	visual	unimodal	association 1	True	False
188	Left_4	L_4_ROI	somatosensory	paralimbic	motor	True	False
189	Left_3b	L_3b_ROI	somatosensory	paralimbic	sensory 2	True	False
190	Left_FEF	L_FEF_ROI	dorsal attention	paralimbic	motor	True	False
191	Left_PEF	L_PEF_ROI	dorsal attention	paralimbic	motor	True	False
192	Left_55b	L_55b_ROI	ventral attention	paralimbic	motor	True	False
193	Left_V3A	L_V3A_ROI	visual	unimodal	association 1	True	False
194	Left_RSC	L_RSC_ROI	default mode	idiotypic	limbic	True	False
195	Left_POS2	L_POS2_ROI	frontoparietal	heteromodal	association 1	True	False
196	Left_V7	L_V7_ROI	visual	unimodal	association 1	True	False
197	Left_IPS1	L_IPS1_ROI	dorsal attention	heteromodal	association 1	True	False
198	Left_FFC	L_FFC_ROI	visual	unimodal	association 1	True	False
199	Left_V3B	L_V3B_ROI	visual	unimodal	association 1	True	False
200	Left_LO1	L_LO1_ROI	visual	unimodal	sensory 1	True	False
201	Left_LO2	L_LO2_ROI	visual	unimodal	sensory 1	True	False
202	Left_PIT	L_PIT_ROI	visual	unimodal	sensory 1	True	False
203	Left_MT	L_MT_ROI	visual	unimodal	sensory 1	True	False
204	Left_A1	L_A1_ROI	somatosensory	unimodal	sensory 2	True	False
205	Left_PSL	L_PSL_ROI	ventral attention	unimodal	association 2	True	False
206	Left_SFL	L_SFL_ROI	default mode	unimodal	association 1	True	False
207	Left_PCV	L_PCV_ROI	dorsal attention	heteromodal	association 1	True	False
208	Left_STV	L_STV_ROI	ventral attention	unimodal	association 2	True	False
209	Left_7Pm	L_7Pm_ROI	frontoparietal	heteromodal	association 1	True	False
210	Left_7m	L_7m_ROI	default mode	heteromodal	association 1	True	False
211	Left_POS1	L_POS1_ROI	default mode	heteromodal	association 1	True	False
212	Left_23d	L_23d_ROI	default mode	idiotypic	limbic	True	False
213	Left_v23ab	L_v23ab_ROI	default mode	idiotypic	association 1	True	False
214	Left_d23ab	L_d23ab_ROI	default mode	idiotypic	limbic	True	False
215	Left_31pv	L_31pv_ROI	default mode	idiotypic	association 1	True	False
216	Left_5m	L_5m_ROI	somatosensory	paralimbic	motor	True	False
217	Left_5mv	L_5mv_ROI	ventral attention	unimodal	motor	True	False
218	Left_23c	L_23c_ROI	ventral attention	unimodal	association 1	True	False
219	Left_5L	L_5L_ROI	somatosensory	unimodal	motor	True	False
220	Left_24dd	L_24dd_ROI	somatosensory	paralimbic	motor	True	False
221	Left_24dv	L_24dv_ROI	somatosensory	unimodal	association 1	True	False
222	Left_7AL	L_7AL_ROI	dorsal attention	heteromodal	association 1	True	False
223	Left_SCEF	L_SCEF_ROI	ventral attention	unimodal	association 1	True	False
224	Left_6ma	L_6ma_ROI	ventral attention	unimodal	association 1	True	False
225	Left_7Am	L_7Am_ROI	dorsal attention	heteromodal	association 1	True	False
226	Left_7PL	L_7PL_ROI	dorsal attention	heteromodal	association 1	True	False
227	Left_7PC	L_7PC_ROI	dorsal attention	heteromodal	association 1	True	False
228	Left_LIPv	L_LIPv_ROI	dorsal attention	heteromodal	association 1	True	False
229	Left_VIP	L_VIP_ROI	dorsal attention	heteromodal	association 1	True	False
230	Left_MIP	L_MIP_ROI	dorsal attention	heteromodal	association 1	True	False
231	Left_1	L_1_ROI	somatosensory	paralimbic	sensory 2	True	False
232	Left_2	L_2_ROI	somatosensory	unimodal	sensory 2	True	False
233	Left_3a	L_3a_ROI	somatosensory	paralimbic	sensory 2	True	False
234	Left_6d	L_6d_ROI	somatosensory	paralimbic	motor	True	False
235	Left_6mp	L_6mp_ROI	somatosensory	paralimbic	motor	True	False
236	Left_6v	L_6v_ROI	somatosensory	paralimbic	motor	True	False
237	Left_p24pr	L_p24pr_ROI	ventral attention	idiotypic	limbic	True	False
238	Left_33pr	L_33pr_ROI	ventral attention	idiotypic	limbic	True	False
239	Left_a24pr	L_a24pr_ROI	ventral attention	idiotypic	limbic	True	False
240	Left_p32pr	L_p32pr_ROI	ventral attention	unimodal	association 1	True	False
241	Left_a24	L_a24_ROI	default mode	idiotypic	limbic	True	False
242	Left_d32	L_d32_ROI	default mode	heteromodal	association 1	True	False
243	Left_8BM	L_8BM_ROI	frontoparietal	heteromodal	association 1	True	False
244	Left_p32	L_p32_ROI	default mode	heteromodal	sensory 1	True	False
245	Left_10r	L_10r_ROI	default mode	heteromodal	sensory 1	True	False
246	Left_47m	L_47m_ROI	default mode	idiotypic	sensory 1	True	False
247	Left_8Av	L_8Av_ROI	frontoparietal	unimodal	association 1	True	False
248	Left_8Ad	L_8Ad_ROI	default mode	heteromodal	association 1	True	False
249	Left_9m	L_9m_ROI	default mode	heteromodal	association 1	True	False
250	Left_8BL	L_8BL_ROI	default mode	heteromodal	association 1	True	False
251	Left_9p	L_9p_ROI	default mode	heteromodal	association 1	True	False
252	Left_10d	L_10d_ROI	default mode	heteromodal	association 1	True	False
253	Left_8C	L_8C_ROI	frontoparietal	heteromodal	association 1	True	False
254	Left_44	L_44_ROI	frontoparietal	heteromodal	association 1	True	False
255	Left_45	L_45_ROI	default mode	heteromodal	association 1	True	False
256	Left_47l	L_47l_ROI	default mode	heteromodal	sensory 1	True	False
257	Left_a47r	L_a47r_ROI	frontoparietal	heteromodal	sensory 1	True	False
258	Left_6r	L_6r_ROI	ventral attention	paralimbic	motor	True	False
259	Left_IFJa	L_IFJa_ROI	frontoparietal	heteromodal	association 1	True	False
260	Left_IFJp	L_IFJp_ROI	dorsal attention	unimodal	association 1	True	False
261	Left_IFSp	L_IFSp_ROI	frontoparietal	heteromodal	association 1	True	False
262	Left_IFSa	L_IFSa_ROI	frontoparietal	heteromodal	association 1	True	False
263	Left_p9-46v	L_p9-46v_ROI	frontoparietal	heteromodal	association 2	True	False
264	Left_46	L_46_ROI	frontoparietal	heteromodal	association 2	True	False
265	Left_a9-46v	L_a9-46v_ROI	frontoparietal	heteromodal	association 2	True	False
266	Left_9-46d	L_9-46d_ROI	frontoparietal	heteromodal	association 2	True	False
267	Left_9a	L_9a_ROI	default mode	heteromodal	association 2	True	False
268	Left_10v	L_10v_ROI	limbic	heteromodal	sensory 1	True	False
269	Left_a10p	L_a10p_ROI	frontoparietal	heteromodal	association 2	True	False
270	Left_10pp	L_10pp_ROI	limbic	heteromodal	association 2	True	False
271	Left_11l	L_11l_ROI	frontoparietal	heteromodal	sensory 1	True	False
272	Left_13l	L_13l_ROI	limbic	idiotypic	sensory 1	True	False
273	Left_OFC	L_OFC_ROI	limbic	idiotypic	sensory 1	True	False
274	Left_47s	L_47s_ROI	default mode	idiotypic	sensory 1	True	False
275	Left_LIPd	L_LIPd_ROI	dorsal attention	heteromodal	association 1	True	False
276	Left_6a	L_6a_ROI	dorsal attention	paralimbic	motor	True	False
277	Left_i6-8	L_i6-8_ROI	frontoparietal	unimodal	association 1	True	False
278	Left_s6-8	L_s6-8_ROI	frontoparietal	unimodal	association 1	True	False
279	Left_43	L_43_ROI	somatosensory	unimodal	motor	True	False
280	Left_OP4	L_OP4_ROI	somatosensory	unimodal	sensory 2	True	False
281	Left_OP1	L_OP1_ROI	somatosensory	heteromodal	association 2	True	False
282	Left_OP2-3	L_OP2-3_ROI	somatosensory	heteromodal	insula	True	False
283	Left_52	L_52_ROI	somatosensory	idiotypic	insula	True	False
284	Left_RI	L_RI_ROI	somatosensory	unimodal	association 2	True	False
285	Left_PFcm	L_PFcm_ROI	somatosensory	unimodal	association 2	True	False
286	Left_PoI2	L_PoI2_ROI	ventral attention	idiotypic	insula	True	False
287	Left_TA2	L_TA2_ROI	somatosensory	unimodal	association 2	True	False
288	Left_FOP4	L_FOP4_ROI	ventral attention	heteromodal	association 1	True	False
289	Left_MI	L_MI_ROI	ventral attention	idiotypic	insula	True	False
290	Left_Pir	L_Pir_ROI	ventral attention	idiotypic	insula	True	False
291	Left_AVI	L_AVI_ROI	frontoparietal	idiotypic	sensory 1	True	False
292	Left_AAIC	L_AAIC_ROI	ventral attention	idiotypic	insula	True	False
293	Left_FOP1	L_FOP1_ROI	ventral attention	unimodal	motor	True	False
294	Left_FOP3	L_FOP3_ROI	ventral attention	idiotypic	insula	True	False
295	Left_FOP2	L_FOP2_ROI	somatosensory	unimodal	motor	True	False
296	Left_PFt	L_PFt_ROI	dorsal attention	heteromodal	association 2	True	False
297	Left_AIP	L_AIP_ROI	dorsal attention	heteromodal	association 1	True	False
298	Left_EC	L_EC_ROI	limbic	idiotypic	limbic	True	False
299	Left_PreS	L_PreS_ROI	visual	idiotypic	limbic	True	False
300	Left_H	L_H_ROI	limbic	idiotypic	limbic	True	False
301	Left_ProS	L_ProS_ROI	visual	paralimbic	sensory 1	True	False
302	Left_PeEc	L_PeEc_ROI	limbic	idiotypic	limbic	True	False
303	Left_STGa	L_STGa_ROI	default mode	idiotypic	association 2	True	False
304	Left_PBelt	L_PBelt_ROI	somatosensory	unimodal	association 2	True	False
305	Left_A5	L_A5_ROI	somatosensory	unimodal	association 2	True	False
306	Left_PHA1	L_PHA1_ROI	visual	idiotypic	limbic	True	False
307	Left_PHA3	L_PHA3_ROI	visual	heteromodal	association 1	True	False
308	Left_STSda	L_STSda_ROI	default mode	unimodal	association 2	True	False
309	Left_STSdp	L_STSdp_ROI	default mode	unimodal	association 2	True	False
310	Left_STSvp	L_STSvp_ROI	default mode	heteromodal	association 1	True	False
311	Left_TGd	L_TGd_ROI	limbic	idiotypic	association 1	True	False
312	Left_TE1a	L_TE1a_ROI	default mode	heteromodal	association 1	True	False
313	Left_TE1p	L_TE1p_ROI	frontoparietal	heteromodal	association 1	True	False
314	Left_TE2a	L_TE2a_ROI	limbic	unimodal	association 1	True	False
315	Left_TF	L_TF_ROI	limbic	unimodal	association 1	True	False
316	Left_TE2p	L_TE2p_ROI	dorsal attention	unimodal	association 1	True	False
317	Left_PHT	L_PHT_ROI	dorsal attention	heteromodal	association 1	True	False
318	Left_PH	L_PH_ROI	dorsal attention	unimodal	association 1	True	False
319	Left_TPOJ1	L_TPOJ1_ROI	ventral attention	unimodal	association 2	True	False
320	Left_TPOJ2	L_TPOJ2_ROI	dorsal attention	heteromodal	association 2	True	False
321	Left_TPOJ3	L_TPOJ3_ROI	dorsal attention	unimodal	association 2	True	False
322	Left_DVT	L_DVT_ROI	visual	unimodal	association 1	True	False
323	Left_PGp	L_PGp_ROI	dorsal attention	unimodal	association 2	True	False
324	Left_IP2	L_IP2_ROI	frontoparietal	heteromodal	association 2	True	False
